Date,Product_ID,Product_Name,Category,Quantity_Sold,Wholesale_Price,Retail_Price,Revenue,Profit
01-01-2023,1,Polo shirt,Shirts,16,300,399,6384,1584
01-01-2023,2,Jeans,Pants,29,600,699,20271,2871
01-01-2023,3,Denim jacket,Outerwear,24,700,749,17976,1176
01-01-2023,4,Tuxedo, Suits,20,560,669,13380,2180
01-01-2023,5,V-neck -Sweaters,Sweaters,17,420,489,8313,1173
01-01-2023,6,Graphic T-shirt,T-shirts,16,150,199,3184,784
01-01-2023,7,Running jacket,Activewear,28,420,499,13972,2212
01-01-2023,8,Belt,Accessories,20,110,159,3180,980
01-01-2023,9,Watch,Accessories,20,380,419,8380,780
01-01-2023,10,Sneakers,Footwear,13,350,449,5837,1287
02-01-2023,1,Polo shirt,Shirts,17,300,399,6783,1683
02-01-2023,2,Jeans,Pants,12,600,699,8388,1188
02-01-2023,3,Denim jacket,Outerwear,11,700,749,8239,539
02-01-2023,4,Tuxedo, Suits,21,560,669,14049,2289
02-01-2023,5,V-neck -Sweaters,Sweaters,15,420,489,7335,1035
02-01-2023,6,Graphic T-shirt,T-shirts,11,150,199,2189,539
02-01-2023,7,Running jacket,Activewear,10,420,499,4990,790
02-01-2023,8,Belt,Accessories,21,110,159,3339,1029
02-01-2023,9,Watch,Accessories,21,380,419,8799,819
02-01-2023,10,Sneakers,Footwear,26,350,449,11674,2574
03-01-2023,1,Polo shirt,Shirts,19,300,399,7581,1881
03-01-2023,2,Jeans,Pants,25,600,699,17475,2475
03-01-2023,3,Denim jacket,Outerwear,24,700,749,17976,1176
03-01-2023,4,Tuxedo, Suits,24,560,669,16056,2616
03-01-2023,5,V-neck -Sweaters,Sweaters,28,420,489,13692,1932
03-01-2023,6,Graphic T-shirt,T-shirts,21,150,199,4179,1029
03-01-2023,7,Running jacket,Activewear,29,420,499,14471,2291
03-01-2023,8,Belt,Accessories,12,110,159,1908,588
03-01-2023,9,Watch,Accessories,14,380,419,5866,546
03-01-2023,10,Sneakers,Footwear,28,350,449,12572,2772
